ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
recife_pos_0135_a18d355316797881,1,0.5819,0.3979,0.7771,rain_decay_index_api_chirps,0.7062,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0136_dff6f8b5b66d8c8c,1,0.6683,0.5221,0.8267,rain_decay_index_api_chirps,0.7062,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0137_bd7a74a4e3b14dc6,1,0.9656,0.8956,0.9934,rain_decay_index_api_chirps,2.6878,REC_00388,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0138_cea96c56e7faec51,1,0.9469,0.8695,0.9868,rain_decay_index_api_chirps,2.654,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0139_15470bbd649613d7,1,0.5088,0.4176,0.5968,elevation_m,-0.2685,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0140_3300907b7f03241c,1,0.5966,0.5081,0.6887,elevation_m,0.3189,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_e5b0d67b4d31b093,0,0.5121,0.3982,0.6311,rain_decay_index_api_chirps,-0.2287,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_11ec770ad80a1606,0,0.2612,0.1071,0.5043,rain_peak_residual_orthogonalized,-0.4823,REC_NEG_00002,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_c39b951f08b83370,0,0.3975,0.1741,0.7336,rain_peak_residual_orthogonalized,-0.6494,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_687b5ec12c43c33e,0,0.5095,0.3512,0.6703,rain_decay_index_api_chirps,0.2703,REC_NEG_00003,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_227bf6fbc8a3a216,0,0.4752,0.3226,0.6225,rain_decay_index_api_chirps,-0.855,REC_NEG_00004,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_ca7e64799c40b0e0,0,0.5272,0.362,0.6854,slope_deg,-0.3695,REC_NEG_00005,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_ad3a278d56eebc1d,0,0.2972,0.1419,0.4791,slope_deg,-0.3652,REC_NEG_00006,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_c56afdbe4b97ba9b,0,0.8043,0.6513,0.9186,rain_decay_index_api_chirps,0.4064,REC_NEG_00007,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_6ec93d5c66ebe628,0,0.4559,0.3803,0.5291,rain_decay_index_api_chirps,-0.6365,REC_NEG_00008,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_a193a77e464d3ec3,0,0.63,0.4801,0.7761,elevation_m,0.6114,REC_NEG_00007,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_61042a024b2d0411,0,0.69,0.5028,0.8452,twi_dinf,0.4527,REC_NEG_00004,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_299d7f19ffc58b52,0,0.3777,0.2826,0.4658,rain_decay_index_api_chirps,-0.7079,REC_NEG_00009,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_317973c2f50a61b3,0,0.5337,0.4283,0.6491,elevation_m,-0.2385,REC_00529,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_a08f924e68ca5317,0,0.3477,0.2805,0.4105,rain_decay_index_api_chirps,-0.7645,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_ff633bee76765952,0,0.3067,0.2073,0.4024,rain_decay_index_api_chirps,-0.8376,REC_NEG_00001,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_a20f30fd5217fec3,0,0.4953,0.3351,0.6494,rain_decay_index_api_chirps,-0.7567,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_aba5916f383b1e7f,0,0.5625,0.3917,0.732,twi_dinf,0.3828,REC_NEG_00003,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_8c3c50d26535fa63,0,0.6673,0.5819,0.7632,rain_decay_index_api_chirps,0.4346,REC_NEG_00011,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_bbbe1ad5006ca890,0,0.6362,0.5297,0.7476,rain_decay_index_api_chirps,0.3542,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_1354d16677455e66,0,0.3396,0.2335,0.4382,rain_decay_index_api_chirps,-0.8681,REC_NEG_00003,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_40b1f325018eeb9f,0,0.2815,0.1842,0.3688,rain_decay_index_api_chirps,-0.8235,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
REC_NEGV3_f2507c2c4f04d6ed,0,0.307,0.2131,0.3951,rain_decay_index_api_chirps,-0.664,REC_NEG_00013,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NEWPOS_34e4e28f79707f56,1,0.3317,0.2503,0.4075,rain_decay_index_api_chirps,-0.7433,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NEWPOS_3ffe61cb62224d51,1,0.3795,0.3026,0.4522,rain_decay_index_api_chirps,-0.4549,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NEWPOS_fcb0209bcc55fef3,1,0.4016,0.3003,0.4995,rain_decay_index_api_chirps,-0.8126,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NEWPOS_94c5470c68eea998,1,0.8738,0.7569,0.9549,rain_decay_index_api_chirps,1.8294,REC_00528,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_000,0,0.5757,0.4454,0.7149,twi_dinf,0.5683,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_001,0,0.4349,0.3658,0.5038,rain_decay_index_api_chirps,-0.379,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_002,0,0.4135,0.3329,0.4932,rain_decay_index_api_chirps,-0.3591,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_003,0,0.6847,0.4433,0.8762,twi_dinf,1.1036,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_004,0,0.3339,0.2309,0.4239,rain_decay_index_api_chirps,-0.379,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_005,0,0.3664,0.2467,0.4864,rain_decay_index_api_chirps,-0.4321,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_006,0,0.5085,0.4192,0.6033,rain_decay_index_api_chirps,-0.3701,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_007,0,0.4006,0.2981,0.5023,rain_decay_index_api_chirps,-0.4521,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_008,0,0.3739,0.2987,0.4373,rain_decay_index_api_chirps,-0.379,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_009,0,0.4032,0.3108,0.4952,rain_decay_index_api_chirps,-0.4191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_010,0,0.406,0.3441,0.4622,rain_decay_index_api_chirps,-0.4191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_011,0,0.4442,0.3568,0.5372,rain_decay_index_api_chirps,-0.3591,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_012,0,0.4494,0.3674,0.5291,rain_decay_index_api_chirps,-0.4191,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_ILUM_013,0,0.517,0.4078,0.6185,rain_decay_index_api_chirps,-0.4321,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_000,0,0.4185,0.3457,0.483,rain_decay_index_api_chirps,-0.7151,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_001,0,0.3203,0.1699,0.4952,rain_decay_index_api_chirps,-0.4151,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_002,0,0.5172,0.3813,0.6599,rain_decay_index_api_chirps,-0.5769,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_003,0,0.4576,0.3594,0.5528,twi_dinf,-0.1878,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_004,0,0.5498,0.346,0.7487,elevation_m,0.6254,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_005,0,0.5055,0.4166,0.6012,elevation_m,-0.1868,REC_00528,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_006,0,0.3755,0.2886,0.4522,rain_decay_index_api_chirps,-0.5408,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_007,0,0.3108,0.2241,0.3908,rain_decay_index_api_chirps,-0.7151,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_008,0,0.3486,0.2497,0.4414,rain_decay_index_api_chirps,-0.7271,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_009,0,0.3334,0.2461,0.4168,rain_decay_index_api_chirps,-0.5647,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_010,0,0.3983,0.3193,0.473,rain_decay_index_api_chirps,-0.7793,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_011,0,0.411,0.3258,0.488,rain_decay_index_api_chirps,-0.6441,REC_NEG_00011,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_012,0,0.4908,0.385,0.5978,rain_decay_index_api_chirps,-0.5635,REC_00299,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_013,0,0.4032,0.2513,0.5707,rain_decay_index_api_chirps,-0.7704,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_014,0,0.4032,0.2513,0.5707,rain_decay_index_api_chirps,-0.7704,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_015,0,0.3445,0.2703,0.4103,rain_decay_index_api_chirps,-0.7306,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_016,0,0.4135,0.3346,0.4882,rain_decay_index_api_chirps,-0.4184,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_017,0,0.3213,0.228,0.4085,rain_decay_index_api_chirps,-0.7634,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_018,0,0.2665,0.1826,0.3509,rain_decay_index_api_chirps,-0.7935,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_019,0,0.374,0.2679,0.472,rain_decay_index_api_chirps,-0.7996,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_020,0,0.3136,0.1698,0.4649,twi_dinf,-0.3327,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_021,0,0.6181,0.4722,0.7628,elevation_m,0.4813,REC_NEG_00008,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_022,0,0.5926,0.458,0.7374,rain_decay_index_api_chirps,0.7186,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_023,0,0.5893,0.5141,0.6759,twi_dinf,0.2709,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_024,0,0.3123,0.2321,0.3844,rain_decay_index_api_chirps,-0.7036,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_025,0,0.5641,0.4651,0.6721,elevation_m,-0.2667,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_026,0,0.3856,0.3116,0.4546,rain_decay_index_api_chirps,-0.4617,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_027,0,0.5334,0.3708,0.693,slope_deg,-0.3985,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_028,0,0.2504,0.1519,0.3455,rain_decay_index_api_chirps,-0.7327,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_029,0,0.2653,0.1678,0.3586,rain_decay_index_api_chirps,-0.7031,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_030,0,0.3581,0.2629,0.4475,rain_decay_index_api_chirps,-0.6788,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_031,0,0.4789,0.3239,0.6334,rain_decay_index_api_chirps,-0.708,REC_00299,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_032,0,0.5041,0.3706,0.6381,elevation_m,0.4712,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_033,0,0.3969,0.3303,0.4561,rain_decay_index_api_chirps,-0.5097,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_034,0,0.4869,0.3486,0.6324,rain_decay_index_api_chirps,-0.5487,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_035,0,0.3297,0.2074,0.4579,rain_decay_index_api_chirps,-0.5229,REC_NEG_00003,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_036,0,0.3811,0.2849,0.4774,rain_decay_index_api_chirps,-0.5376,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_037,0,0.3389,0.2509,0.4176,rain_decay_index_api_chirps,-0.5229,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_038,0,0.5221,0.3363,0.7129,elevation_m,0.5973,REC_NEG_00004,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_039,0,0.3586,0.2654,0.4441,rain_decay_index_api_chirps,-0.5376,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_040,0,0.7195,0.5064,0.8845,elevation_m,0.518,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_041,0,0.3218,0.2345,0.4038,rain_decay_index_api_chirps,-0.7066,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_042,0,0.4807,0.2758,0.6927,rain_decay_index_api_chirps,-0.4173,REC_00299,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_043,0,0.6729,0.5117,0.8162,elevation_m,0.4928,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_044,0,0.3735,0.2978,0.4389,rain_decay_index_api_chirps,-0.6233,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_045,0,0.5098,0.3348,0.6819,rain_decay_index_api_chirps,-0.4333,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_046,0,0.3687,0.2929,0.4354,rain_decay_index_api_chirps,-0.4318,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_047,0,0.3798,0.2918,0.4653,rain_decay_index_api_chirps,-0.2575,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_048,0,0.8369,0.6856,0.9401,rain_decay_index_api_chirps,0.6897,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_049,0,0.5918,0.4603,0.7238,elevation_m,0.3839,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_050,0,0.4491,0.3475,0.5549,rain_decay_index_api_chirps,-0.5454,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_051,0,0.3777,0.2763,0.4714,rain_decay_index_api_chirps,-0.6517,REC_NEG_00002,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_052,0,0.4972,0.4452,0.553,rain_decay_index_api_chirps,-0.2449,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_053,0,0.5857,0.4719,0.7084,rain_decay_index_api_chirps,0.3802,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_054,0,0.5356,0.3831,0.696,rain_decay_index_api_chirps,-0.6678,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_055,0,0.528,0.4293,0.637,elevation_m,-0.2243,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_056,0,0.3811,0.3032,0.4554,rain_decay_index_api_chirps,-0.5018,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_057,0,0.3578,0.262,0.4453,rain_decay_index_api_chirps,-0.4463,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_058,0,0.7333,0.4767,0.9124,twi_dinf,1.2082,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_059,0,0.4259,0.2332,0.6324,twi_dinf,0.4061,REC_NEG_00006,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_060,0,0.6878,0.4824,0.8529,elevation_m,0.4809,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_061,0,0.3441,0.2534,0.4207,rain_decay_index_api_chirps,-0.5038,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_062,0,0.4811,0.3979,0.5739,rain_decay_index_api_chirps,-0.6205,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_063,0,0.4359,0.3687,0.4993,rain_decay_index_api_chirps,-0.5829,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_064,0,0.5314,0.4504,0.617,rain_decay_index_api_chirps,-0.3862,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_065,0,0.7709,0.5533,0.92,rain_decay_index_api_chirps,1.6784,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_066,0,0.4448,0.3696,0.5273,rain_decay_index_api_chirps,-0.2164,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_067,0,0.4311,0.3439,0.5168,rain_decay_index_api_chirps,-0.5557,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_068,0,0.4311,0.3439,0.5168,rain_decay_index_api_chirps,-0.5557,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_069,0,0.6223,0.4543,0.7811,twi_dinf,0.6835,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_070,0,0.6923,0.5951,0.8035,rain_decay_index_api_chirps,0.7148,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_071,0,0.4993,0.3749,0.6361,rain_decay_index_api_chirps,-0.7242,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_072,0,0.3167,0.1922,0.4366,rain_decay_index_api_chirps,-0.3185,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_073,0,0.4229,0.2789,0.5765,rain_decay_index_api_chirps,-0.46,REC_00276,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_074,0,0.5007,0.4151,0.5883,rain_decay_index_api_chirps,-0.2643,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_075,0,0.3707,0.288,0.4478,rain_decay_index_api_chirps,-0.4537,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_076,0,0.4928,0.3669,0.6281,rain_decay_index_api_chirps,-0.623,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_077,0,0.4934,0.4008,0.5949,rain_decay_index_api_chirps,-0.5697,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_078,0,0.6682,0.5451,0.8005,rain_decay_index_api_chirps,0.5582,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_079,0,0.7436,0.6353,0.8564,rain_decay_index_api_chirps,1.1478,REC_00482,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_080,0,0.2745,0.1786,0.3666,rain_decay_index_api_chirps,-0.6232,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_081,0,0.5003,0.3912,0.6138,elevation_m,-0.2633,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_082,0,0.2599,0.0322,0.7339,slope_deg,-1.113,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
NOVONEG_V9_BAIRRO_083,0,0.3869,0.2596,0.5222,rain_decay_index_api_chirps,-0.6067,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
