ponto_id,rotulo_real,escore,ic95_lo,ic95_hi,variavel_principal,contribuicao_variavel_principal,dino_evidence_patch_id,model_version,regiao
recife_pos_0016_32e0195748b0dd4f,1,0.999,0.9906,1.0,rain_decay_index_api_chirps,6.0754,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0018_52bc8a1a5a9187f4,1,0.8734,0.7636,0.9561,rain_decay_index_api_chirps,1.4176,REC_NEG_00004,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0021_c0e3297b513fdf45,1,0.8803,0.776,0.9568,rain_decay_index_api_chirps,1.8721,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0022_b31d617723aaf89a,1,0.5461,0.3707,0.722,twi_dinf,0.4826,REC_NEG_00007,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0023_bb7a5cd87b32e781,1,0.549,0.2927,0.7897,rain_decay_index_api_chirps,-0.7425,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0024_9ab3107981ca5989,1,0.6353,0.4671,0.7835,rain_decay_index_api_chirps,-0.5852,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0025_37a0e076d0a8e596,1,0.6102,0.3523,0.8161,elevation_m,0.4214,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0026_5c4d8f987d734132,1,0.571,0.3806,0.7402,elevation_m,0.3755,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0027_c9c24a08059591b7,1,0.9631,0.9023,0.9921,rain_decay_index_api_chirps,3.0266,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0028_1bde9db481bb5afd,1,0.9824,0.9303,0.9977,rain_decay_index_api_chirps,3.8343,REC_00528,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0029_13ebba4d732dc2f6,1,0.9932,0.9624,0.9994,rain_decay_index_api_chirps,4.8088,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0030_662f36478effdd85,1,0.6371,0.4777,0.7856,twi_dinf,0.4527,REC_NEG_00004,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0031_ba8fd2c0b40036a0,1,0.5744,0.4729,0.6762,elevation_m,0.366,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0032_0298185ab926de6d,1,0.4609,0.208,0.6966,elevation_m,0.4616,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0033_8027d8787a018eb5,1,0.5508,0.3669,0.7334,elevation_m,0.4783,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0034_e5e769e1003d6722,1,0.3149,0.1466,0.5169,rain_decay_index_api_chirps,-0.8543,REC_NEG_00012,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0035_592806860e16a38f,1,0.6167,0.527,0.7043,rain_decay_index_api_chirps,-0.2514,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0036_fd3424632dbc1973,1,0.7648,0.6053,0.9085,rain_decay_index_api_chirps,0.9511,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0037_b9a7783691b618f1,1,0.9056,0.8299,0.9615,rain_decay_index_api_chirps,1.5728,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0038_1c65794363493d91,1,0.8327,0.7497,0.9154,rain_decay_index_api_chirps,1.2588,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0039_50eb42c2cd9e2116,1,0.5233,0.4088,0.6397,rain_decay_index_api_chirps,-0.3813,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0040_d920025d9486b889,1,0.553,0.3725,0.76,elevation_m,0.4895,REC_NEG_00010,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0041_4e7cf73adc60deca,1,0.4106,0.1718,0.6406,elevation_m,0.4214,REC_00503,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0042_c0004f4761d96a0b,1,0.4504,0.2881,0.6278,rain_decay_index_api_chirps,-0.4301,REC_NEG_00007,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0043_5e6c3c4de30e37ff,1,0.4595,0.2817,0.6441,rain_decay_index_api_chirps,-0.7982,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0044_6b45d44b02113e2f,1,0.4575,0.3718,0.5461,rain_decay_index_api_chirps,-0.7768,REC_00322,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0045_83c3be86149bdc34,1,0.4643,0.2875,0.6476,rain_decay_index_api_chirps,-0.7723,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0046_26839cd709cb8be8,1,0.4076,0.2843,0.5161,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0047_f74cb100c8bc7c33,1,0.4224,0.3114,0.5265,rain_decay_index_api_chirps,-0.7737,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0048_957808f8833c94f3,1,0.908,0.8058,0.9698,rain_decay_index_api_chirps,1.6679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0049_659fc92ff70d2e69,1,0.908,0.8058,0.9698,rain_decay_index_api_chirps,1.6679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0050_9256af1db5016a09,1,0.799,0.6443,0.918,rain_decay_index_api_chirps,1.6679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0051_26c6f63829a2b8c2,1,0.8337,0.7206,0.9275,rain_decay_index_api_chirps,1.6679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0052_8071684f1b0cb194,1,0.8337,0.7206,0.9275,rain_decay_index_api_chirps,1.6679,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0053_6608fb4e5fd63dab,1,0.7462,0.6526,0.8479,rain_decay_index_api_chirps,0.9108,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0054_e852abcc060243a1,1,0.7352,0.6279,0.8357,rain_decay_index_api_chirps,0.3429,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0055_11d0113fe281a9fc,1,0.5154,0.4322,0.6054,rain_decay_index_api_chirps,-0.5768,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0056_78b7c72a4107dfa1,1,0.5447,0.446,0.663,twi_dinf,-0.1755,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
recife_pos_0057_e9802b5e8fdd3615,1,0.3949,0.2262,0.5876,rain_decay_index_api_chirps,-0.8681,,"SUSC-20 v12 (Firth, n=269, LOO-AUC=0.6781 documentado em SUSC-20C)",recife
