Tipo,Orgao,DataCriacao,Assunto,Subdivisao,Situacao,Logradouro,Bairro,Regional,DataResposta,Origem,source_year
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Rômulo César Alves,SANTA FELICIDADE,Unidade Regional Santa Felicidade,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/10/2023,Drenagem,Alagamentos,Concluído,Rua Nossa Senhora de Monte Claro,CIDADE INDUSTRIAL,Unidade Regional CIC,27/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA SERGIPE,GUAIRA,Unidade Regional Portao,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Victorio Celli,CAJURU,Unidade Regional Cajuru,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,03/11/2023,Drenagem,Alagamentos,Concluído,Felisbino Passos,TINGUI,Unidade Regional Boa Vista,06/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Leonor Cardoso,CAMPO COMPRIDO,Unidade Regional Portao,25/03/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,26/10/2023,Drenagem,Alagamentos,Concluído,RUA FRANCISCO FRISCHMANN,PORTAO,Unidade Regional Portao,21/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,03/11/2023,Drenagem,Alagamentos,Concluído,RUA DAS CARMELITAS,BOQUEIRAO,Unidade Regional Boqueirao,28/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Afonso Gonçalves Arantes,PILARZINHO,Unidade Regional Boa Vista,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,31/10/2023,Drenagem,Alagamentos,Concluído,Miguel Piekarski,BOA VISTA,Unidade Regional Boa Vista,19/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA PARAÍBA,GUAIRA,Unidade Regional Portao,19/02/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,RUA FREI NICODEMUS GRUNHOFF,TINGUI,Unidade Regional Boa Vista,30/10/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,27/10/2023,Drenagem,Alagamentos,Concluído,RUA MARIO ZANLORENZI,CAMPO COMPRIDO,Unidade Regional Portao,24/01/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,16/01/2023,Drenagem,Alagamentos,Concluído,RUA PADRE JACINTO MIENSOPUST,CIDADE INDUSTRIAL,Unidade Regional CIC,25/01/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,01/12/2023,Drenagem,Alagamentos,Concluído,Avenida Manoel Ribas,BUTIATUVINHA,Unidade Regional Santa Felicidade,10/04/2024,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,19/11/2023,Drenagem,Alagamentos,Concluído,rio negro ,BAIRRO ALTO,Unidade Regional Boa Vista,20/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,05/12/2023,Drenagem,Alagamentos,Concluído,RUA LUIZ STIVAL,SANTA FELICIDADE,Unidade Regional Santa Felicidade,,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,05/12/2023,Drenagem,Alagamentos,Concluído,RUA SATURNINO MIRANDA,SANTA FELICIDADE,Unidade Regional Santa Felicidade,,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Sebastião Marcos Luiz,CAJURU,Unidade Regional Cajuru,23/11/2023,Chat,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/12/2023,Drenagem,Alagamentos,Concluído,Rua São Maximiliano Maria Kolbe,TATUQUARA,Unidade Regional Tatuquara,17/01/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,05/12/2023,Drenagem,Alagamentos,Concluído,RUA ANGELO PIANARO,BUTIATUVINHA,Unidade Regional Santa Felicidade,01/02/2024,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Deputado Vidal Vanhoni,TATUQUARA,Unidade Regional Tatuquara,31/10/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,25/12/2023,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,Rua Tenente Antônio Emílio Vaz Lobo,TATUQUARA,Unidade Regional Tatuquara,,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,22/11/2023,Drenagem,Alagamentos,Concluído,Rua Alcides Munhoz,MERCES,Unidade Regional Matriz,07/12/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,29/10/2023,Drenagem,Alagamentos,Concluído,Rua Maria Gusso Sforza,PILARZINHO,Unidade Regional Boa Vista,07/11/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,26/10/2023,Drenagem,Alagamentos,Concluído,Rua Waldemiro Ry,NOVO MUNDO,Unidade Regional Pinheirinho,23/01/2024,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,11/10/2023,Drenagem,Alagamentos,Concluído,RUA RAIMUNDO NINA RODRIGUES,CAJURU,Unidade Regional Cajuru,,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,Rua Lívio Petterle,ATUBA,Unidade Regional Boa Vista,16/02/2024,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,10/11/2023,Drenagem,Alagamentos,Concluído,Rua Professor Pedro Viriato Parigot de Souza,CIDADE INDUSTRIAL,Unidade Regional CIC,16/11/2023,Portal,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,23/11/2023,Drenagem,Alagamentos,Concluído,RUA JERÔNIMO DE SOUZA SOBRINHO,CIDADE INDUSTRIAL,Unidade Regional CIC,27/11/2023,Telefone,2023
Solicitação,SECRETARIA MUNICIPAL DE OBRAS PÚBLICAS,23/11/2023,Drenagem,Alagamentos,Concluído,Imaculada Conceição,PRADO VELHO,Unidade Regional Matriz,27/12/2023,Telefone,2023
Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,10/08/2023,Drenagem,Alagamentos,Concluído,RUA OSVALDO PFUTZENREUTER- VADICO,PILARZINHO,Unidade Regional Boa Vista,11/08/2023,Telefone,2023
Denúncia,SECRETARIA DO GOVERNO MUNICIPAL,29/11/2023,Drenagem,Alagamentos,Concluído,Rua Moacir Vieira Gomes,CAMPO COMPRIDO,Unidade Regional Portao,15/12/2023,Portal,2023
