janela_id,data_criacao,tipo,orgao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,bairro_esperado,arquivo_fonte,consulta_geocodificacao,nivel_confianca,lat,lon,nominatim_nome_exibicao,osm_class,osm_type,osm_id,motivo_geocodificacao,hand_m,hand_m_status,crs,tamanho_pixel_m,twi,twi_status,slope_deg,slope_deg_status,hand_m_regional_percentile,twi_regional_percentile,slope_deg_median_regional,twi_median_regional,dist_drenagem_m,assinatura_enchente_plausivel,status_adjudicacao
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Abrahão Kalil Fadel, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4465335,-49.3114864,"Rua Abrahão Kalil Fadel, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,residential,161320952,,3.3631,OK,EPSG:31982,10.0,7.8739,OK,3.4546,OK,28.8,73.4,3.552,6.5254,82.5,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Francisco Klemtz,PORTAO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Francisco Klemtz, PORTAO, Curitiba, PR, Brasil",strong,-25.4689463,-49.3025256,"Rua Francisco Klemtz, Portão, Curitiba, Paraná, Região Sul, 80330-300, Brasil",,residential,396890092,,3.3177,OK,EPSG:31982,10.0,5.3955,OK,8.9865,OK,28.6,20.5,3.552,6.5254,41.2,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Daisy Luci Berno,PAROLIN,Unidade Regional Portao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Daisy Luci Berno, PAROLIN, Curitiba, PR, Brasil",strong,-25.4680014,-49.2587921,"Rua Daisy Luci Berno, Parolin, Curitiba, Paraná, Região Sul, 81030-030, Brasil",,residential,657095941,,0.0,OK,EPSG:31982,10.0,11.9552,OK,1.894,OK,2.1,95.8,3.552,6.5254,156.2,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Rosa Tortato,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Rosa Tortato, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.533192,-49.290167,"Rua Rosa Tortato, Jardim Nossa Senhora das Graças, Pinheirinho, Curitiba, Paraná, Região Sul, 81870-070, Brasil",,residential,129002825,,3.2276,OK,EPSG:31982,10.0,6.8613,OK,7.8216,OK,28.2,57.2,3.552,6.5254,44.7,False,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA DOLORES DURAN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA DOLORES DURAN, XAXIM, Curitiba, PR, Brasil",strong,-25.5113869,-49.275774,"Rua Dolores Duran, Vila São Pedro, Xaxim, Curitiba, Paraná, Região Sul, 81810-150, Brasil",,residential,128988864,,3.4611,OK,EPSG:31982,10.0,9.5592,OK,1.2049,OK,29.3,87.8,3.552,6.5254,22.4,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,VILA IZABEL,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES, VILA IZABEL, Curitiba, PR, Brasil",strong,-25.4559046,-49.3032168,"Avenida Presidente Arthur da Silva Bernardes, Vila Izabel, Curitiba, Paraná, Região Sul, 80320-345, Brasil",,primary,397647521,,1.0399,OK,EPSG:31982,10.0,8.3811,OK,1.0345,OK,14.2,79.0,3.552,6.5254,50.0,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA IZIDORO STAVITZKI,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA IZIDORO STAVITZKI, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.5239897,-49.2723663,"Rua Izidoro Stavitzki, Pinheirinho, Curitiba, Paraná, Região Sul, 81825-300, Brasil",,residential,128988839,,1.2649,OK,EPSG:31982,10.0,9.1449,OK,0.2775,OK,16.0,85.3,3.552,6.5254,133.4,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Abrahão Kalil Fadel, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4465335,-49.3114864,"Rua Abrahão Kalil Fadel, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,residential,161320952,,3.3631,OK,EPSG:31982,10.0,7.8739,OK,3.4546,OK,28.8,73.4,3.552,6.5254,82.5,True,LIDO
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA DA REPÚBLICA,PAROLIN,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"AVENIDA DA REPÚBLICA, PAROLIN, Curitiba, PR, Brasil",strong,-25.4683778,-49.2585626,"Avenida da República, Parolin, Curitiba, Paraná, Região Sul, 81030-030, Brasil",,residential,657095945,,2.7884,OK,EPSG:31982,10.0,8.3512,OK,0.8582,OK,25.8,78.7,3.552,6.5254,150.0,True,LIDO
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Marcílio Dias,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Marcílio Dias, BAIRRO ALTO, Curitiba, PR, Brasil",strong,-25.4082241,-49.2031442,"Rua Marcílio Dias, Bairro Alto, Curitiba, Paraná, Região Sul, 82240-290, Brasil",,residential,159676214,,0.9631,OK,EPSG:31982,10.0,10.038,OK,1.5988,OK,13.4,90.2,3.552,6.5254,28.3,True,LIDO
