janela_id,data_criacao,tipo,orgao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,bairro_esperado,arquivo_fonte,consulta_geocodificacao,nivel_confianca,lat,lon,nominatim_nome_exibicao,osm_class,osm_type,osm_id,motivo_geocodificacao
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Abrahão Kalil Fadel, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4465335,-49.3114864,"Rua Abrahão Kalil Fadel, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,residential,161320952,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Francisco Klemtz,PORTAO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Francisco Klemtz, PORTAO, Curitiba, PR, Brasil",strong,-25.4689463,-49.3025256,"Rua Francisco Klemtz, Portão, Curitiba, Paraná, Região Sul, 80330-300, Brasil",,residential,396890092,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Daisy Luci Berno,PAROLIN,Unidade Regional Portao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Daisy Luci Berno, PAROLIN, Curitiba, PR, Brasil",strong,-25.4680014,-49.2587921,"Rua Daisy Luci Berno, Parolin, Curitiba, Paraná, Região Sul, 81030-030, Brasil",,residential,657095941,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Rosa Tortato,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Rosa Tortato, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.533192,-49.290167,"Rua Rosa Tortato, Jardim Nossa Senhora das Graças, Pinheirinho, Curitiba, Paraná, Região Sul, 81870-070, Brasil",,residential,129002825,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA DOLORES DURAN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA DOLORES DURAN, XAXIM, Curitiba, PR, Brasil",strong,-25.5113869,-49.275774,"Rua Dolores Duran, Vila São Pedro, Xaxim, Curitiba, Paraná, Região Sul, 81810-150, Brasil",,residential,128988864,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES,VILA IZABEL,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"AVENIDA PRESIDENTE ARTHUR DA SILVA BERNARDES, VILA IZABEL, Curitiba, PR, Brasil",strong,-25.4559046,-49.3032168,"Avenida Presidente Arthur da Silva Bernardes, Vila Izabel, Curitiba, Paraná, Região Sul, 80320-345, Brasil",,primary,397647521,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA IZIDORO STAVITZKI,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA IZIDORO STAVITZKI, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.5239897,-49.2723663,"Rua Izidoro Stavitzki, Pinheirinho, Curitiba, Paraná, Região Sul, 81825-300, Brasil",,residential,128988839,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Abrahão Kalil Fadel, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4465335,-49.3114864,"Rua Abrahão Kalil Fadel, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,residential,161320952,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,AVENIDA DA REPÚBLICA,PAROLIN,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"AVENIDA DA REPÚBLICA, PAROLIN, Curitiba, PR, Brasil",strong,-25.4683778,-49.2585626,"Avenida da República, Parolin, Curitiba, Paraná, Região Sul, 81030-030, Brasil",,residential,657095945,
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Marcílio Dias,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Marcílio Dias, BAIRRO ALTO, Curitiba, PR, Brasil",strong,-25.4082241,-49.2031442,"Rua Marcílio Dias, Bairro Alto, Curitiba, Paraná, Região Sul, 82240-290, Brasil",,residential,159676214,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CATARINA GOOSSEN,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA CATARINA GOOSSEN, XAXIM, Curitiba, PR, Brasil",strong,-25.5126083,-49.2701899,"Rua Catarina Goosen, Xaxim, Curitiba, Paraná, Região Sul, 81830-020, Brasil",,residential,85019677,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA IZIDORO STAVITZKI,PINHEIRINHO,Unidade Regional Pinheirinho,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA IZIDORO STAVITZKI, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.5239897,-49.2723663,"Rua Izidoro Stavitzki, Pinheirinho, Curitiba, Paraná, Região Sul, 81825-300, Brasil",,residential,128988839,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA HELCIO DA CUNHA AJUZ,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"RUA HELCIO DA CUNHA AJUZ, XAXIM, Curitiba, PR, Brasil",strong,-25.4996684,-49.2610393,"Rua Helcio da Cunha Ajuz, Xaxim, Curitiba, Paraná, Região Sul, 81710-380, Brasil",,residential,84883108,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Humberto Higino Parolin,XAXIM,Unidade Regional Boqueirao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Humberto Higino Parolin, XAXIM, Curitiba, PR, Brasil",strong,-25.4960333,-49.265674,"Rua Humberto Higino Parolin, Xaxim, Curitiba, Paraná, Região Sul, 81710-210, Brasil",,residential,84881052,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Professor Ulisses Vieira,PORTAO,Unidade Regional Portao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Professor Ulisses Vieira, PORTAO, Curitiba, PR, Brasil",strong,-25.4604099,-49.2995982,"Rua Professor Ulisses Vieira, Portão, Curitiba, Paraná, Região Sul, 80320-120, Brasil",,tertiary,698981471,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Dante Honório,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv,"Rua Dante Honório, XAXIM, Curitiba, PR, Brasil",strong,-25.5101598,-49.2708732,"Rua Dante Honório, Xaxim, Curitiba, Paraná, Região Sul, 81810-150, Brasil",,residential,85019720,
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA GENERAL MARIO TOURINHO,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-04.csv,"RUA GENERAL MARIO TOURINHO, SEMINARIO, Curitiba, PR, Brasil",strong,-25.4466957,-49.3048161,"Rua General Mário Tourinho, Seminário, Curitiba, Paraná, Região Sul, 80310-100, Brasil",,primary,553259276,
CUR_2025_02_18,18/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA TIBAGI,CENTRO,Unidade Regional Matriz,Telefone,True,/tmp/curitiba_run/siac156_2025-02-19.csv,"RUA TIBAGI, CENTRO, Curitiba, PR, Brasil",strong,-25.4332137,-49.2622903,"Rua Tibagi, Centro, Curitiba, Paraná, Região Sul, 80060-110, Brasil",,secondary,380939621,
CUR_2025_02_18,18/02/2025,Solicitação,Secretaria Municipal de Obras Públicas,Drenagem,Alagamentos,Aberto,RUA TIBAGI,CENTRO,Unidade Regional Matriz,Telefone,True,/tmp/curitiba_run/siac156_2025-02-19.csv,"RUA TIBAGI, CENTRO, Curitiba, PR, Brasil",strong,-25.4332137,-49.2622903,"Rua Tibagi, Centro, Curitiba, Paraná, Região Sul, 80060-110, Brasil",,secondary,380939621,
CUR_2026_02_03,03/02/2026,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Laércio Nakashima,UBERABA,Unidade Regional Cajuru,Telefone,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Rua Laércio Nakashima, UBERABA, Curitiba, PR, Brasil",strong,-25.49658,-49.2036207,"Rua Laércio Nakashima, Vila Jardim Icaray, Uberaba, Curitiba, Paraná, Região Sul, 81560-615, Brasil",,residential,125624693,
CUR_2026_02_03,03/02/2026,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA RICHARD WAGNER,VISTA ALEGRE,Unidade Regional Santa Felicidade,Telefone,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"RUA RICHARD WAGNER, VISTA ALEGRE, Curitiba, PR, Brasil",strong,-25.4049077,-49.2838145,"Rua Richard Wagner, Vista Alegre, Curitiba, Paraná, Região Sul, 80820-240, Brasil",,residential,995308944,
CUR_2026_02_03,03/02/2026,Reclamação,Secretaria do Governo Municipal,Drenagem,Alagamentos,Aberto,Júlio Wischral,UBERABA,Unidade Regional Cajuru,Portal,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Júlio Wischral, UBERABA, Curitiba, PR, Brasil",strong,-25.4741294,-49.2234054,"Rua Júlio Wischral, Uberaba, Curitiba, Paraná, Região Sul, 81540-590, Brasil",,residential,125389841,
CUR_2026_02_03,03/02/2026,Denúncia,Secretaria Municipal de Obras Públicas,Drenagem,Alagamentos,Aberto,Emiliano Perneta,CENTRO,Unidade Regional Matriz,Portal,True,/tmp/curitiba_run/siac156_2026-02-04.csv,"Emiliano Perneta, CENTRO, Curitiba, PR, Brasil",medium,-25.4259223,-49.2673244,"Emiliano Perneta, Ciclovia Parque São Lourenço - Passeio Público, Centro, Curitiba, Paraná, Região Sul, 80020-290, Brasil",,artwork,10313024482,
