regiao,rotulo,ponto_id,lat,lon,data_evento,ano_fonte,assunto,subdivisao,logradouro,bairro,nivel_confianca,nominatim_nome_exibicao,nominatim_osm_id,tipo_fonte_negativo,fenomeno_ocorrencia,papel_fonte_dataset,uso_permitido,uso_proibido
Curitiba,0,CUR_SIAC156_NEG_b6ae7f82b46355d2,-25.410887,-49.3541959,26/11/2023,2023,Coleta,Resíduos vegetais de jardim,Rua Augusto Fleischfresser,SAO BRAZ,strong,"Rua Augusto Fleischfresser, São Braz, Curitiba, Paraná, Região Sul, 82315-420, Brasil",150296348,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_0578fb5d38b3f7ea,-25.3983586,-49.3467704,19/12/2023,2023,Coleta,Resíduos vegetais de jardim,RUA ANGELO ZANOTTO,BUTIATUVINHA,strong,"Rua Ângelo Zanotto, Butiatuvinha, Curitiba, Paraná, Região Sul, 82320-390, Brasil",158126145,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_b85efec9fa773160,-25.4559114,-49.2250443,03/08/2023,2023,Árvore,Poda de manutenção em árvores,RUA JOSE LUCAS,JARDIM DAS AMERICAS,strong,"Rua José Lucas, Jardim das Américas, Curitiba, Paraná, Região Sul, 81530-150, Brasil",64882235,siac156_curitiba_non_hydrological_category_v1,"non-flood (Árvore/Poda de manutenção em árvores) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_dca7e44be040966e,-25.4374442,-49.2122617,25/05/2023,2023,Coleta,Resíduos vegetais de jardim,Rua Humberto Mattana,CAPAO DA IMBUIA,strong,"Rua Humberto Mattana, Capão da Imbuia, Curitiba, Paraná, Região Sul, 82810-460, Brasil",152131325,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_e827c126b7559d61,-25.4944631,-49.3460709,20/09/2023,2023,Lombada física,Implantação,RUA DEPUTADO CUNHA BUENO,CIDADE INDUSTRIAL,strong,"Rua Deputado Cunha Bueno, Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81350-260, Brasil",127354953,siac156_curitiba_non_hydrological_category_v1,"non-flood (Lombada física/Implantação) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_56d1b5421e4fcdf4,-25.426686,-49.2674703,06/02/2023,2023,Cartão transporte,Cartão débito/crédito,RUA PRESIDENTE CARLOS CAVALCANTI,CENTRO,strong,"Rua Presidente Carlos Cavalcanti, Centro, Curitiba, Paraná, Região Sul, 80020-270, Brasil",467435130,siac156_curitiba_non_hydrological_category_v1,"non-flood (Cartão transporte/Cartão débito/crédito) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_9ac56858eb76509d,-25.4591348,-49.2758453,11/09/2023,2023,Coleta,Resíduos vegetais de jardim,RUA SAMUEL CEZAR,AGUA VERDE,strong,"Rua Samuel Cézar, Água Verde, Curitiba, Paraná, Região Sul, 80620-220, Brasil",52708905,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_c730d3535fb6b7bb,-25.4566238,-49.2761627,23/10/2023,2023,Árvore,Poda de manutenção em árvores,RUA FRANCISCO NEGRÃO,AGUA VERDE,strong,"Rua Francisco Negrão, Água Verde, Curitiba, Paraná, Região Sul, 80620-400, Brasil",52708908,siac156_curitiba_non_hydrological_category_v1,"non-flood (Árvore/Poda de manutenção em árvores) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_83999e706c43bc15,-25.4535901,-49.2758875,08/08/2023,2023,Trânsito,Fiscalização de estacionamento irregular,AVENIDA ÁGUA VERDE,AGUA VERDE,strong,"Avenida Água Verde, Água Verde, Curitiba, Paraná, Região Sul, 80620-400, Brasil",43593224,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_7b5f44a243d552f1,-25.4916079,-49.2846502,25/10/2023,2023,Trânsito,Fiscalização de estacionamento irregular,Rua das Andorinhas,NOVO MUNDO,strong,"Rua das Andorinhas, Novo Mundo, Curitiba, Paraná, Região Sul, 81020-420, Brasil",48310142,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_1de8e7eccdb193f5,-25.4961652,-49.2265428,15/08/2023,2023,Trânsito,Fiscalização de bloqueio de pista,RUA ARISTÓTELES DA SILVA SANTOS,BOQUEIRAO,strong,"Rua Aristóteles da Silva Santos, Boqueirão, Curitiba, Paraná, Região Sul, 81650-140, Brasil",85573769,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de bloqueio de pista) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_ff1f7cf52d638a3c,-25.4620962,-49.2017923,14/07/2023,2023,Coleta,Entulhos diversos (pequena quantidade),Rua Vila Velha,CAJURU,strong,"Rua Vila Velha, Vila Cajuru VIII B, Cajuru, Curitiba, Paraná, Região Sul, 82960-000, Brasil",164123902,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Entulhos diversos (pequena quantidade)) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_e0daa35d46673de4,-25.400257,-49.2424066,05/12/2023,2023,Trânsito,Fiscalização de estacionamento irregular,RUA DESEMBARGADOR ARTHUR LEME,BACACHERI,strong,"Rua Desembargador Arthur Leme, Bacacheri, Curitiba, Paraná, Região Sul, 82510-180, Brasil",150348503,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_0df5d094ff42c7b3,-25.5181959,-49.2656907,04/02/2023,2023,Coleta,Caliças até 5 carrinhos de mão,RUA JOÃO KASDORF,XAXIM,strong,"Rua João Kasdorf, Vila Mariana, Xaxim, Curitiba, Paraná, Região Sul, 81830-230, Brasil",85022423,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Caliças até 5 carrinhos de mão) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_18f80a4e41512db8,-25.3668777,-49.2295593,16/05/2023,2023,Coleta,Resíduos vegetais de jardim,Rua João Ortolani,SANTA CANDIDA,strong,"Rua João Ortolani, Moradas do Porto, Santa Cândida, Curitiba, Paraná, Região Sul, 82640-010, Brasil",166727302,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_a7f60a15350dc941,-25.4926943,-49.2872919,18/11/2023,2023,Trânsito,Fiscalização de estacionamento irregular,Rua Capitão Ernesto dos Anjos Barbosa,NOVO MUNDO,strong,"Rua Capitão Ernesto dos Anjos Barbosa, Novo Mundo, Curitiba, Paraná, Região Sul, 81020-320, Brasil",48310141,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_160a0b9c2b3f8250,-25.4219933,-49.2325129,21/11/2023,2023,Coleta,Resíduos vegetais de jardim,Rua Arcésio Guimarães,JARDIM SOCIAL,strong,"Rua Arcésio Guimarães, Jardim Social, Curitiba, Paraná, Região Sul, 82520-000, Brasil",173185745,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_0f90823181be3c9d,-25.4259116,-49.2845356,09/08/2024,2024,Trânsito,Fiscalização de estacionamento irregular,ALAMEDA PRUDENTE DE MORAES,MERCES,strong,"Alameda Prudente de Moraes, Mercês, Curitiba, Paraná, Região Sul, 81020-430, Brasil",29429111,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_7407e127fc5c420d,-25.4619037,-49.2545872,28/01/2024,2024,Trânsito,Fiscalização de estacionamento irregular,Rua Aluízio Finzetto,PRADO VELHO,strong,"Rua Aluízio Finzetto, Prado Velho, Curitiba, Paraná, Região Sul, 81610-000, Brasil",1486670646,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_79c5a6d5a66f7c39,-25.4461639,-49.2542402,15/01/2024,2024,Animais domésticos,Remoção de caninos mortos,Rua Chile,REBOUCAS,strong,"Rua Chile, Rebouças, Curitiba, Paraná, Região Sul, 80215-150, Brasil",43547880,siac156_curitiba_non_hydrological_category_v1,"non-flood (Animais domésticos/Remoção de caninos mortos) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_7c1f6876f9cf4c31,-25.4143755,-49.2683269,10/11/2024,2024,Trânsito,Fiscalização de estacionamento irregular,Avenida Candi,CENTRO CIVICO,medium,"Centro Cívico, Curitiba, Paraná, Região Sul, Brasil",6204419,siac156_curitiba_non_hydrological_category_v1,"non-flood (Trânsito/Fiscalização de estacionamento irregular) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_12349e6e9b90944e,-25.4811815,-49.2098025,31/12/2024,2024,Coleta,Resíduos vegetais de jardim,Rua Arthur José Nísio,UBERABA,strong,"Rua Arthur José Nísio, Uberaba, Curitiba, Paraná, Região Sul, 81550-080, Brasil",187779532,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_77468b164b9e60f0,-25.5005686,-49.2985134,12/02/2024,2024,Coleta,Resíduos vegetais de jardim,RUA DOMINGOS GABARDO,CAPAO RASO,strong,"Rua Domingos Gabardo, Capão Raso, Curitiba, Paraná, Região Sul, 81130-060, Brasil",48294499,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Resíduos vegetais de jardim) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_fab1cf1f08d4880c,-25.4759645,-49.2233974,16/12/2024,2024,Coleta,Entulhos diversos (pequena quantidade),RUA ARATICUM,UBERABA,strong,"Rua Araticum, Uberaba, Curitiba, Paraná, Região Sul, 81540-590, Brasil",125396753,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Entulhos diversos (pequena quantidade)) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
Curitiba,0,CUR_SIAC156_NEG_643c04e7da235c4c,-25.498382,-49.2608756,08/02/2024,2024,Coleta,Entulhos diversos (pequena quantidade),RUA ENÉAS ALMEIDA EIDAM,XAXIM,strong,"Rua Enéas Almeida Eidam, Xaxim, Curitiba, Paraná, Região Sul, 81710-380, Brasil",390174020,siac156_curitiba_non_hydrological_category_v1,"non-flood (Coleta/Entulhos diversos (pequena quantidade)) - causally independent of rain, see negative_categories_curitiba.py",siac156_curitiba_negative_v1,"Ponto negativo administrativo geocodificado, pareado por bairro com positivo real, sem colisao <30m. Mesma regra causal do v12 Recife.","Nao usar como escore, threshold ou variavel derivada do rotulo. Ausencia de registro NAO foi usada como criterio -- presenca de outro fenomeno real."
