window_id,data_criacao,tipo,orgao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,bairro_esperado,source_file
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Concluído,RUA CID JOSÉ DOS SANTOS,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,RUA IGNEZ ROMFELD OTTO,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Concluído,Rua Maceió,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,RUA SANTO ANÍBAL MARIA DI FRANCIA,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Adelino Alexandrino Marquezini,ATUBA,Unidade Regional Boa Vista,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,Rua Índia,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Concluído,Rua Índia,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Arlindo Natal,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Denúncia,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Respondido,Professor Raul Pinheiro Machado,BACACHERI,Unidade Regional Boa Vista,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Respondido,Edgard de Alencar Guimarães,CAJURU,Unidade Regional Cajuru,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,RUA DOUTOR JOÃO LUIZ BETTEGA,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Respondido,RUA DOUTOR JOÃO LUIZ BETTEGA,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Niterói,CAJURU,Unidade Regional Cajuru,Chat,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Em andamento,RUA ADÍLIO RAMOS,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Concluído,RUA ALBERTO DE OLIVEIRA,BAIRRO ALTO,Unidade Regional Boa Vista,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Etiópia,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,RUA SANTO ANIBAL MARIA DIFRANCIA,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Concluído,Rua Osmário de Lima,CAPAO DA IMBUIA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Monsenhor Dunand,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Respondido,RUA NITEROI,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,Rua Senador Alô Guimarães,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Respondido,RUA CELSO CESAR OSTERNACK,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Oyapock,CRISTO REI,Unidade Regional Matriz,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Respondido,Rua Padre Estanislau Cebula,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Concluído,RUA IGNEZ DE SOUZA SOARES,TATUQUARA,Unidade Regional Tatuquara,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA HELCIO DA CUNHA AJUZ,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Rodolfo Amoedo,XAXIM,Unidade Regional Boqueirao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Doutor Carlos Franco Ferreira da Costa,SITIO CERCADO,Unidade Regional Bairro Novo,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Nicolau Serrato Sobrinho,NOVO MUNDO,Unidade Regional Pinheirinho,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Agostinho Ângelo Trevisan,UBERABA,Unidade Regional Cajuru,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Nagib da Silva,CAJURU,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA AGOSTINHO ANGELO TREVISAN,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Abrahão Kalil Fadel,SEMINARIO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,RUA HAYTON DA SILVA PEREIRA,CAPAO DA IMBUIA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA ALETE DACHEAUX STORI,JARDIM DAS AMERICAS,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Oliveira Viana,HAUER,Unidade Regional Boqueirao,Portal,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,RUA CARLOS DE LAET,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA MUNICIPAL DA DEFESA SOCIAL E TRÂNSITO,Proteção ao cidadão - GM,"Enchentes, inundações ou alagamentos",Aberto,Rua Francisco Klemtz,PORTAO,Unidade Regional Portao,Telefone,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,João Nogarolli,FANNY,Unidade Regional Pinheirinho,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Rua Expedicionário Francisco Pereira Dos Santos,ALTO BOQUEIRAO,Unidade Regional Boqueirao,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_02_03,03/02/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Aberto,Daisy Luci Berno,PAROLIN,Unidade Regional Portao,Portal,True,/tmp/curitiba_run/siac156_2025-02-03.csv
CUR_2025_01_28,28/01/2025,Solicitação,SECRETARIA DO GOVERNO MUNICIPAL,Drenagem,Alagamentos,Falta de dados,Rua Francisco de Paula Gonzaga,UBERABA,Unidade Regional Cajuru,Telefone,False,/tmp/curitiba_run/siac156_2025-02-03.csv
