source_year,data_criacao,assunto,subdivisao,situacao,logradouro,bairro,regional,origem,rank_key,geocode_query,confidence_tier,lat,lon,nominatim_display_name,osm_class,osm_type,osm_id,geocode_reason
2024,09/08/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,ALAMEDA PRUDENTE DE MORAES,MERCES,Unidade Regional Matriz,Telefone,7085,"ALAMEDA PRUDENTE DE MORAES, MERCES, Curitiba, PR, Brasil",strong,-25.4259116,-49.2845356,"Alameda Prudente de Moraes, Mercês, Curitiba, Paraná, Região Sul, 81020-430, Brasil",,residential,29429111,
2024,28/01/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Rua Aluízio Finzetto,PRADO VELHO,Unidade Regional Matriz,Mobile,11334,"Rua Aluízio Finzetto, PRADO VELHO, Curitiba, PR, Brasil",strong,-25.4619037,-49.2545872,"Rua Aluízio Finzetto, Prado Velho, Curitiba, Paraná, Região Sul, 81610-000, Brasil",,primary,1486670646,
2024,15/01/2024,Animais domésticos,Remoção de caninos mortos,Concluído,Rua Chile,REBOUCAS,Unidade Regional Matriz,Telefone,18735,"Rua Chile, REBOUCAS, Curitiba, PR, Brasil",strong,-25.4461639,-49.2542402,"Rua Chile, Rebouças, Curitiba, Paraná, Região Sul, 80215-150, Brasil",,secondary,43547880,
2024,10/11/2024,Trânsito,Fiscalização de estacionamento irregular,Concluído,Avenida Candi,CENTRO CIVICO,Unidade Regional Matriz,Telefone,29747,"Avenida Candi, CENTRO CIVICO, Curitiba, PR, Brasil",medium,-25.4143755,-49.2683269,"Centro Cívico, Curitiba, Paraná, Região Sul, Brasil",,administrative,6204419,fallback_bairro_apos_rua_sem_resultado_em_bbox
2024,31/12/2024,Coleta,Resíduos vegetais de jardim,Aberto,Rua Arthur José Nísio,UBERABA,Unidade Regional Cajuru,Mobile,46236,"Rua Arthur José Nísio, UBERABA, Curitiba, PR, Brasil",strong,-25.4811815,-49.2098025,"Rua Arthur José Nísio, Uberaba, Curitiba, Paraná, Região Sul, 81550-080, Brasil",,residential,187779532,
2024,05/09/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA PADRE ARNALDO JANSSEN,CAJURU,Unidade Regional Cajuru,Telefone,48946,"RUA PADRE ARNALDO JANSSEN, CAJURU, Curitiba, PR, Brasil",strong,-25.4725842,-49.194381,"Rua Padre Arnaldo Janssen, Cajuru, Curitiba, Paraná, Região Sul, 82980-130, Brasil",,residential,163153938,
2024,12/02/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA DOMINGOS GABARDO,CAPAO RASO,Unidade Regional Pinheirinho,Telefone,50261,"RUA DOMINGOS GABARDO, CAPAO RASO, Curitiba, PR, Brasil",strong,-25.5005686,-49.2985134,"Rua Domingos Gabardo, Capão Raso, Curitiba, Paraná, Região Sul, 81130-060, Brasil",,residential,48294499,
2024,16/12/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA ARATICUM,UBERABA,Unidade Regional Cajuru,Telefone,72430,"RUA ARATICUM, UBERABA, Curitiba, PR, Brasil",strong,-25.4759645,-49.2233974,"Rua Araticum, Uberaba, Curitiba, Paraná, Região Sul, 81540-590, Brasil",,residential,125396753,
2024,08/02/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,RUA ENÉAS ALMEIDA EIDAM,XAXIM,Unidade Regional Boqueirao,Telefone,94275,"RUA ENÉAS ALMEIDA EIDAM, XAXIM, Curitiba, PR, Brasil",strong,-25.498382,-49.2608756,"Rua Enéas Almeida Eidam, Xaxim, Curitiba, Paraná, Região Sul, 81710-380, Brasil",,residential,390174020,
2024,02/10/2024,Coleta,Caliças até 5 carrinhos de mão,Concluído,RUA ENGENHEIRO JAYME MATZENBACHER,ATUBA,Unidade Regional Boa Vista,Telefone,97166,"RUA ENGENHEIRO JAYME MATZENBACHER, ATUBA, Curitiba, PR, Brasil",strong,-25.3835194,-49.2093745,"Rua Engenheiro Jayme Matzenbacher, Atuba, Curitiba, Paraná, Região Sul, 82630-309, Brasil",,residential,160681555,
2024,12/07/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Professora Augusta Ribas,PINHEIRINHO,Unidade Regional Pinheirinho,Mobile,116125,"Rua Professora Augusta Ribas, PINHEIRINHO, Curitiba, PR, Brasil",strong,-25.5426076,-49.2970434,"Rua Professora Augusta Ribas, Pinheirinho, Curitiba, Paraná, Região Sul, 81880-000, Brasil",,residential,129015216,
2024,30/04/2024,Coleta,Resíduos vegetais de jardim,Concluído,RUA BENEDITO CORREIA DE FREITAS,ABRANCHES,Unidade Regional Boa Vista,Telefone,133999,"RUA BENEDITO CORREIA DE FREITAS, ABRANCHES, Curitiba, PR, Brasil",strong,-25.3811553,-49.2749411,"Rua Benedito Correia de Freitas, Abranches, Curitiba, Paraná, Região Sul, 82130-230, Brasil",,residential,161997924,
2024,16/03/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Doutor Lauro Gentio Portugal Tavares,SITIO CERCADO,Unidade Regional Bairro Novo,Mobile,136924,"Rua Doutor Lauro Gentio Portugal Tavares, SITIO CERCADO, Curitiba, PR, Brasil",strong,-25.5362685,-49.2616497,"Rua Doutor Lauro Gentio Portugal Tavares, Sítio Cercado, Curitiba, Paraná, Região Sul, 81910-470, Brasil",,tertiary,127245296,
2024,12/01/2024,Coleta,Entulhos diversos (pequena quantidade),Concluído,Rua Doutor Nelson Luiz Wolski Velloso,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,149983,"Rua Doutor Nelson Luiz Wolski Velloso, CIDADE INDUSTRIAL, Curitiba, PR, Brasil",strong,-25.4799601,-49.3456184,"Rua Doutor Nelson Luiz Wolski Velloso, Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81250-350, Brasil",,residential,83058529,
2024,12/01/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Doutor Nelson Luiz Wolski Velloso,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,149983,"Rua Doutor Nelson Luiz Wolski Velloso, CIDADE INDUSTRIAL, Curitiba, PR, Brasil",strong,-25.4799601,-49.3456184,"Rua Doutor Nelson Luiz Wolski Velloso, Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81250-350, Brasil",,residential,83058529,
2024,20/02/2024,Árvore,Poda de manutenção em árvores,Aberto,Rua Inácio Slompo,SANTA FELICIDADE,Unidade Regional Santa Felicidade,Mobile,176162,"Rua Inácio Slompo, SANTA FELICIDADE, Curitiba, PR, Brasil",strong,-25.4046825,-49.3364547,"Rua Inácio Slompo, Santa Felicidade, Curitiba, Paraná, Região Sul, 82320-040, Brasil",,residential,158626309,
2024,29/03/2024,Coleta,Resíduos vegetais de jardim,Concluído,Rua Jorge Gava,PILARZINHO,Unidade Regional Boa Vista,Mobile,185964,"Rua Jorge Gava, PILARZINHO, Curitiba, PR, Brasil",strong,-25.3872682,-49.2927207,"Rua Jorge Gava, Vila Nori - Jardim Cosmos, Pilarzinho, Curitiba, Paraná, Região Sul, 82110-350, Brasil",,residential,150296278,
2024,08/07/2024,Animais domésticos,Remoção de felinos mortos,Concluído,RUA CIDADE DE LAGUNA,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,202146,"RUA CIDADE DE LAGUNA, CIDADE INDUSTRIAL, Curitiba, PR, Brasil",medium,-25.497993,-49.334522,"Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81350-260, Brasil",,suburb,3012156952,fallback_bairro_apos_rua_sem_resultado_em_bbox
2024,08/07/2024,Disque Solidariedade,Doações,Concluído,RUA CIDADE DE LAGUNA,CIDADE INDUSTRIAL,Unidade Regional CIC,Telefone,202146,"RUA CIDADE DE LAGUNA, CIDADE INDUSTRIAL, Curitiba, PR, Brasil",medium,-25.497993,-49.334522,"Cidade Industrial de Curitiba, Curitiba, Paraná, Região Sul, 81350-260, Brasil",,suburb,3012156952,fallback_bairro_apos_rua_sem_resultado_em_bbox
