cluster_id,n_pixels,row_centroid,col_centroid,consensus_basis,index_votes_mean,b08_after_mean,b11_after_mean,b08_before_mean,b11_before_mean,adjudicated,easting,northing,lon,lat
S2WC_06066,3704,2431.2,1018.64,NDWI_MNDWI_AWEI,2.755,0.1019,0.0625,0.3313,0.1614,false,-43.14,-22.54,-43.139703,-22.54317
S2WC_05015,3483,2206.8,1345.19,NDWI_MNDWI_AWEI,2.789,0.0927,0.0498,0.3117,0.141,false,-43.1,-22.52,-43.104363,-22.52073
S2WC_06280,2490,2439.42,717.44,NDWI_MNDWI_AWEI,2.827,0.0966,0.0657,0.3251,0.1714,false,-43.17,-22.54,-43.172301,-22.543992
S2WC_04609,1685,2059.52,1761.31,NDWI_MNDWI_AWEI,2.791,0.0782,0.0519,0.2895,0.1697,false,-43.06,-22.51,-43.059328,-22.506002
S2WC_05162,1421,2203.45,1573.28,NDWI_MNDWI_AWEI,2.844,0.1047,0.0696,0.3191,0.157,false,-43.08,-22.52,-43.079677,-22.520395
S2WC_04917,1378,2141.54,1461.55,NDWI_MNDWI_AWEI,2.853,0.1039,0.0648,0.2924,0.1368,false,-43.09,-22.51,-43.091769,-22.514204
S2WC_04584,973,2055.41,1085.54,NDWI_MNDWI_AWEI,2.726,0.1105,0.065,0.3456,0.1886,false,-43.13,-22.51,-43.132463,-22.505591
S2WC_05955,888,2358.24,881.9,NDWI_MNDWI_AWEI,2.85,0.1099,0.0677,0.3205,0.1532,false,-43.15,-22.54,-43.154502,-22.535874
S2WC_00230,770,99.45,1275.46,NDWI_MNDWI_AWEI,2.813,0.1134,0.091,0.3158,0.2036,false,-43.11,-22.31,-43.111909,-22.309995
S2WC_06273,714,2410.85,895.13,NDWI_MNDWI_AWEI,2.895,0.1026,0.0702,0.3421,0.1662,false,-43.15,-22.54,-43.15307,-22.541135
S2WC_03089,681,1352.17,1463.43,NDWI_MNDWI_AWEI,2.717,0.1015,0.0812,0.2992,0.2555,false,-43.09,-22.44,-43.091566,-22.435267
S2WC_05585,623,2294.28,1409.59,NDWI_MNDWI_AWEI,2.607,0.1041,0.0596,0.3363,0.1794,false,-43.1,-22.53,-43.097393,-22.529478
