variavel,n_pos,n_neg,media_pos,media_neg,mannwhitney_U,p_valor,rank_biserial_r,sinal_esperado,direcao_observada,significante_p05
elevation_m,1045,426,906.3373,911.7768,188362.0,0.0,0.1538,-1,pos<neg,True
slope_deg,1045,426,3.4819,3.7079,210414.0,0.0996,0.0547,-1,pos<neg,False
hand_m_dinf,1035,423,8.4227,10.0256,189567.5,0.0001,0.134,-1,pos<neg,True
twi_dinf,1045,426,8.1609,7.7649,228873.0,0.3948,-0.0282,1,pos>neg,False
rain_peak_residual_orthogonalized,1045,426,-0.4872,2.1428,187336.0,0.0,0.1584,1,pos<neg,True
rain_decay_index_api_chirps,1045,426,33.2552,26.5284,274011.5,0.0,-0.231,1,pos>neg,True
