variavel,coef_padronizado,ic95_lo,ic95_hi,p_valor,sinal_esperado,sinal_bate_esperado,ic95_cruza_zero
slope_deg,0.0004,-0.1308,0.1355,0.9778,-1,False,True
hand_m_dinf,-0.1652,-0.2881,-0.0417,0.0089,-1,True,False
twi_dinf,0.1052,-0.0449,0.2705,0.176,1,True,True
rain_peak_residual_orthogonalized,-0.3427,-0.4539,-0.2326,0.0,1,False,False
rain_decay_index_api_chirps,0.4508,0.3198,0.5868,0.0,1,True,False
