variavel,coef_padronizado,ic95_lo,ic95_hi,p_valor,sinal_esperado,sinal_bate_esperado,ic95_cruza_zero
slope_deg,-0.0793,-0.2831,0.1449,0.4719,-1,True,True
hand_m_dinf,-0.0986,-0.2977,0.1105,0.347,-1,True,True
twi_dinf,0.0804,-0.1734,0.3919,0.5652,1,True,True
rain_peak_residual_orthogonalized,-0.2775,-0.4499,-0.0963,0.0032,1,False,False
rain_decay_index_api_chirps,0.4237,0.2008,0.6615,0.0001,1,True,False
