estrato,conjunto,variante,corte,janela_grupos,n_treino,n_teste,grupos_treino,grupos_teste,eventos_treino,eventos_teste,pos_treino,neg_treino,pos_teste,neg_teste,prevalencia_treino,prevalencia_teste,epv_treino,epv_eventos_treino,auc_prospectivo,ic95,boot_validos,auc_treino,lacuna,coef,blocos_negativos_teste
uk,COMPLETO,bloco,2025-01-01,20,6390,681,343,37,160,20,3012,3378,321,360,0.471,0.471,57.2,26.7,0.7733,"[0.6957, 0.8493]",1000,0.8042,0.0309,"{""elevation_m"": -0.427, ""slope_deg"": 0.8125, ""hand_m"": -2.1072, ""twi_dinf"": 0.6633, ""rain_max_24h"": 0.039, ""rain_decay_index"": 0.3476}",17.0
uk,COMPLETO,bloco,2025-01-01,20,6665,805,357,43,180,20,3333,3332,399,406,0.5,0.496,59.5,30.0,0.7853,"[0.7115, 0.8466]",1000,0.8058,0.0205,"{""elevation_m"": -0.505, ""slope_deg"": 0.7692, ""hand_m"": -2.1033, ""twi_dinf"": 0.6679, ""rain_max_24h"": 0.0941, ""rain_decay_index"": 0.2401}",23.0
cems,TERRENO,heranca,2025-10-26,11,9912,1737,51,11,40,4,4271,5641,462,1275,0.431,0.266,12.8,10.0,0.8053,"[0.6959, 0.9058]",994,0.7259,-0.0794,"{""elevation_m"": 0.4735, ""slope_deg"": -0.636, ""hand_m"": -0.5749, ""twi_dinf"": 0.342}",
cems,TERRENO,heranca,2025-10-26,11,11649,2275,62,11,44,9,4733,6916,1014,1261,0.406,0.446,15.5,11.0,0.7648,"[0.7117, 0.8233]",1000,0.736,-0.0288,"{""elevation_m"": 0.5062, ""slope_deg"": -0.679, ""hand_m"": -0.5701, ""twi_dinf"": 0.3719}",
cems,TERRENO,heranca,2025-10-26,11,13924,2077,73,11,53,8,5747,8177,914,1163,0.413,0.44,18.2,13.2,0.6634,"[0.5835, 0.7465]",1000,0.7404,0.077,"{""elevation_m"": 0.4903, ""slope_deg"": -0.712, ""hand_m"": -0.5522, ""twi_dinf"": 0.3842}",
cems,TERRENO,heranca,2025-11-30,11,16001,2341,84,11,61,10,6661,9340,1138,1203,0.416,0.486,21.0,15.2,0.7605,"[0.7098, 0.8143]",1000,0.7326,-0.0279,"{""elevation_m"": 0.4823, ""slope_deg"": -0.7029, ""hand_m"": -0.5688, ""twi_dinf"": 0.3653}",
cems,TERRENO,heranca,2026-01-10,11,18342,2620,95,11,71,11,7799,10543,1306,1314,0.425,0.498,23.8,17.8,0.6458,"[0.5964, 0.6941]",1000,0.74,0.0942,"{""elevation_m"": 0.527, ""slope_deg"": -0.5908, ""hand_m"": -0.7369, ""twi_dinf"": 0.3917}",
cems,TERRENO,heranca,2026-01-10,11,20962,2473,106,11,82,10,9105,11857,1178,1295,0.434,0.476,26.5,20.5,0.6978,"[0.6686, 0.7387]",1000,0.7307,0.0329,"{""elevation_m"": 0.4698, ""slope_deg"": -0.4943, ""hand_m"": -0.7669, ""twi_dinf"": 0.3949}",
cems,COMPLETO,heranca,2025-11-30,11,17943,2555,93,11,69,11,7559,10384,1318,1237,0.421,0.516,15.5,11.5,0.6809,"[0.6036, 0.7533]",1000,0.7349,0.054,"{""elevation_m"": 0.456, ""slope_deg"": -0.5862, ""hand_m"": -0.6723, ""twi_dinf"": 0.3969, ""rain_max_24h"": -0.2111, ""rain_decay_index"": 0.2766}",
cems,COMPLETO,heranca,2026-01-10,11,20498,2457,104,11,80,10,8877,11621,1166,1291,0.433,0.475,17.3,13.3,0.692,"[0.6675, 0.728]",1000,0.7318,0.0398,"{""elevation_m"": 0.455, ""slope_deg"": -0.5137, ""hand_m"": -0.7557, ""twi_dinf"": 0.3921, ""rain_max_24h"": -0.1725, ""rain_decay_index"": 0.2143}",
